instance_id,solver,run_id,seed,makespan,runtime,status,error
random_1,earliest_start,1,678308981,28,0.0018715858459472656,ok,
random_1,genetic,1,1951814325,25,13.757947444915771,ok,
random_2,earliest_start,1,704862023,70,0.008584260940551758,ok,
random_2,genetic,1,498915077,62,49.896737813949585,ok,
random_3,earliest_start,1,817225491,36,0.0009386539459228516,ok,
random_3,genetic,1,515991429,36,9.928173065185547,ok,
random_4,earliest_start,1,1267111833,17,0.002630472183227539,ok,
random_4,genetic,1,1512030143,17,25.460288286209106,ok,
random_5,earliest_start,1,382821509,28,0.0026705265045166016,ok,
random_5,genetic,1,1956454679,26,23.957876920700073,ok,
random_6,earliest_start,1,1367222047,40,0.0036869049072265625,ok,
random_6,genetic,1,1436893826,31,24.437503814697266,ok,
random_7,earliest_start,1,481151878,48,0.01606917381286621,ok,
random_7,genetic,1,1695550098,48,74.37369060516357,ok,
random_8,earliest_start,1,1938419173,69,0.00489044189453125,ok,
random_8,genetic,1,510021493,69,36.91467523574829,ok,
random_9,earliest_start,1,1319474187,35,0.007389545440673828,ok,
random_9,genetic,1,89595934,33,52.63306379318237,ok,
random_10,earliest_start,1,593309044,120,0.007900714874267578,ok,
random_10,genetic,1,1546223591,120,41.85465431213379,ok,
random_11,earliest_start,1,942543686,38,0.0007374286651611328,ok,
random_11,genetic,1,487093878,35,8.88209080696106,ok,
random_12,earliest_start,1,1124705297,107,0.0007886886596679688,ok,
random_12,genetic,1,1937757411,107,7.556731939315796,ok,
random_13,earliest_start,1,124119111,19,0.0016629695892333984,ok,
random_13,genetic,1,516705340,19,17.256624221801758,ok,
random_14,earliest_start,1,789508108,15,0.00022125244140625,ok,
random_14,genetic,1,1592388125,15,2.4965720176696777,ok,
random_15,earliest_start,1,882157434,31,0.00146484375,ok,
random_15,genetic,1,878714691,31,14.182917833328247,ok,
random_16,earliest_start,1,2063129423,15,0.00025725364685058594,ok,
random_16,genetic,1,2016746586,15,2.961841344833374,ok,
random_17,earliest_start,1,2047234261,39,0.040659189224243164,ok,
random_17,genetic,1,813730038,31,108.26517534255981,ok,
random_18,earliest_start,1,944172229,35,0.03689002990722656,ok,
random_18,genetic,1,1343661631,31,120.39423775672913,ok,
random_19,earliest_start,1,1088088151,51,0.012894392013549805,ok,
random_19,genetic,1,1531095589,51,64.17697739601135,ok,
random_20,earliest_start,1,1338330642,19,0.005853891372680664,ok,
random_20,genetic,1,117297975,17,33.76129460334778,ok,
random_21,earliest_start,1,1606865633,210,0.0016138553619384766,ok,
random_21,genetic,1,1257336844,210,19.125701427459717,ok,
random_22,earliest_start,1,1095927953,28,0.00463557243347168,ok,
random_22,genetic,1,561375922,28,47.88469481468201,ok,
random_23,earliest_start,1,940617504,102,0.009057044982910156,ok,
random_23,genetic,1,1709400967,101,53.13271737098694,ok,
random_24,earliest_start,1,560025380,74,0.01025390625,ok,
random_24,genetic,1,488834281,74,46.445547580718994,ok,
random_25,earliest_start,1,992849158,100,0.0049436092376708984,ok,
random_25,genetic,1,2038882598,100,39.57838177680969,ok,
instance1_bottleneck_mini,earliest_start,1,221324700,58,0.0041010379791259766,ok,
instance1_bottleneck_mini,genetic,1,792411330,58,26.469759464263916,ok,
instance2_high_contention_mini,earliest_start,1,1552420196,30,0.0032825469970703125,ok,
instance2_high_contention_mini,genetic,1,207872599,30,23.96279788017273,ok,
instance3_rock_sand_mini,earliest_start,1,828888273,100,0.002020597457885742,ok,
instance3_rock_sand_mini,genetic,1,1129040672,100,16.506362199783325,ok,
instance4_irrelevant_mini,earliest_start,1,552332525,48,0.004218578338623047,ok,
instance4_irrelevant_mini,genetic,1,1173186354,45,28.217910766601562,ok,
instance5_greedy_killer_mini,earliest_start,1,2035337594,28,0.0009000301361083984,ok,
instance5_greedy_killer_mini,genetic,1,1373242430,28,7.4922871589660645,ok,
