instance_id,solver,run_id,seed,makespan,runtime,status,error
random_1,bruteforce,1,606600246,20,0.0008966922760009766,ok,
random_1,earliest_start,1,710596549,20,0.00030422210693359375,ok,
random_1,genetic,1,1777460500,20,3.506157636642456,ok,
random_2,bruteforce,1,1550275865,19,0.0002551078796386719,ok,
random_2,earliest_start,1,2056454763,19,0.00016117095947265625,ok,
random_2,genetic,1,1899117307,19,1.6073789596557617,ok,
random_3,bruteforce,1,1748276176,22,3.468519687652588,ok,
random_3,earliest_start,1,598589972,23,0.00045299530029296875,ok,
random_3,genetic,1,45467348,22,4.912010192871094,ok,
random_4,bruteforce,1,944802673,15,0.0006706714630126953,ok,
random_4,earliest_start,1,1252381594,15,0.0002491474151611328,ok,
random_4,genetic,1,2102152923,15,2.9173083305358887,ok,
random_5,bruteforce,1,415088426,17,0.000240325927734375,ok,
random_5,earliest_start,1,89946307,17,0.000141143798828125,ok,
random_5,genetic,1,77037058,17,1.2694907188415527,ok,
bottleneck_gen_1,bruteforce,1,1166552778,28,36.92306661605835,ok,
bottleneck_gen_1,earliest_start,1,1123049901,28,0.0012030601501464844,ok,
bottleneck_gen_1,genetic,1,1417833562,28,11.581753492355347,ok,
bottleneck_gen_2,bruteforce,1,418935803,27,36.81884956359863,ok,
bottleneck_gen_2,earliest_start,1,1728895895,31,0.0011365413665771484,ok,
bottleneck_gen_2,genetic,1,1049120826,27,11.50513219833374,ok,
bottleneck_gen_3,bruteforce,1,1048528214,36,39.566601514816284,ok,
bottleneck_gen_3,earliest_start,1,1612365973,39,0.0013244152069091797,ok,
bottleneck_gen_3,genetic,1,685077279,36,13.918610334396362,ok,
bottleneck_gen_4,bruteforce,1,1207828565,24,35.52581334114075,ok,
bottleneck_gen_4,earliest_start,1,18638445,24,0.0010921955108642578,ok,
bottleneck_gen_4,genetic,1,1434687722,24,10.62991714477539,ok,
bottleneck_gen_5,bruteforce,1,1454428065,32,37.862770318984985,ok,
bottleneck_gen_5,earliest_start,1,996076270,32,0.0011310577392578125,ok,
bottleneck_gen_5,genetic,1,1824332429,32,12.38736367225647,ok,
high_contention_gen_1,bruteforce,1,1759433045,26,38.31311225891113,ok,
high_contention_gen_1,earliest_start,1,1070040050,26,0.0010821819305419922,ok,
high_contention_gen_1,genetic,1,371270959,26,12.110540390014648,ok,
high_contention_gen_2,bruteforce,1,378586091,29,38.56389594078064,ok,
high_contention_gen_2,earliest_start,1,31634860,29,0.001313924789428711,ok,
high_contention_gen_2,genetic,1,1202384953,29,13.47978401184082,ok,
high_contention_gen_3,bruteforce,1,281449272,24,39.08992314338684,ok,
high_contention_gen_3,earliest_start,1,1329075815,24,0.0012269020080566406,ok,
high_contention_gen_3,genetic,1,319570839,24,13.329461574554443,ok,
high_contention_gen_4,bruteforce,1,2053689557,33,42.91224122047424,ok,
high_contention_gen_4,earliest_start,1,73660721,33,0.0012793540954589844,ok,
high_contention_gen_4,genetic,1,917133923,33,13.901191234588623,ok,
high_contention_gen_5,bruteforce,1,2102287833,24,37.46552562713623,ok,
high_contention_gen_5,earliest_start,1,2057043075,24,0.0011677742004394531,ok,
high_contention_gen_5,genetic,1,1172631044,24,13.786836624145508,ok,
rock_sand_gen_1,bruteforce,1,441880334,95,43.13736891746521,ok,
rock_sand_gen_1,earliest_start,1,1990585755,95,0.0009143352508544922,ok,
rock_sand_gen_1,genetic,1,994695647,95,12.319491147994995,ok,
rock_sand_gen_2,bruteforce,1,1635583307,93,42.71580266952515,ok,
rock_sand_gen_2,earliest_start,1,576174063,93,0.00092315673828125,ok,
rock_sand_gen_2,genetic,1,1637441222,93,11.87071180343628,ok,
rock_sand_gen_3,bruteforce,1,2070612672,92,42.36436152458191,ok,
rock_sand_gen_3,earliest_start,1,1991734424,92,0.0008971691131591797,ok,
rock_sand_gen_3,genetic,1,975742341,92,11.163074731826782,ok,
rock_sand_gen_4,bruteforce,1,1694637827,95,42.68600916862488,ok,
rock_sand_gen_4,earliest_start,1,2144616408,95,0.0009336471557617188,ok,
rock_sand_gen_4,genetic,1,1479219407,95,11.554261684417725,ok,
rock_sand_gen_5,bruteforce,1,141507194,110,43.45280623435974,ok,
rock_sand_gen_5,earliest_start,1,1082888721,110,0.0009288787841796875,ok,
rock_sand_gen_5,genetic,1,1911676232,110,11.848384141921997,ok,
irrelevant_gen_1,bruteforce,1,1561280900,33,46.97755217552185,ok,
irrelevant_gen_1,earliest_start,1,916692807,33,0.0016331672668457031,ok,
irrelevant_gen_1,genetic,1,1093184731,33,14.271790266036987,ok,
irrelevant_gen_2,bruteforce,1,1811990811,29,48.519996881484985,ok,
irrelevant_gen_2,earliest_start,1,1456458686,29,0.0017464160919189453,ok,
irrelevant_gen_2,genetic,1,1085068368,29,15.47223424911499,ok,
irrelevant_gen_3,bruteforce,1,1528938188,35,48.02766132354736,ok,
